HoyaItemType,CMPNYCD,RCVNO,SALMANCD,RCVDATE,RCVTIME,SUBTRNCD,ORDTYPE,ORDERRT,MODE,SPMODE,OPERATOR,STCKPNT,REFNO,ORGRCVNO,ORGSLIPNO,REASONNO,WASTE,FORM_TYPE,MAIL,SOLD_TO_COMPANY_CODE,RCVNO,SALCSTMCD,SALBRCHCD,SHPBRCHCD,SHPCSTMCD,LABOCD,TOTDETLINE
ST,AA30,13873789,15,20230602,0,,ST,1,"    ",,"B4G323      ",01,"        ",,,,0,1,"    ",AA30,13873789,041498,02,02,041498,01,2
ST,AA30,13873788,15,20230602,0,,ST,1,"    ",,"B4G323      ",02,"        ",,,,0,1,"    ",AA30,13873788,041498,02,02,041498,02,2
