HoyaItemType,CMPNYCD,RCVNO,SALMANCD,RCVDATE,RCVTIME,SUBTRNCD,ORDTYPE,ORDERRT,MODE,SPMODE,OPERATOR,STCKPNT,REFNO,ORGRCVNO,ORGSLIPNO,REASONNO,WASTE,FORM_TYPE,MAIL,SOLD_TO_COMPANY_CODE,RCVNO,SALCSTMCD,SALBRCHCD,SHPBRCHCD,SHPCSTMCD,LABOCD,TOTDETLINE
ST,AA30,13873897,52,20230602,0,,ST,1,"    ",,"B4G055      ",04,"        ",,,,0,1,"    ",AA30,13873897,030203,04,04,030203,04,2
ST,AA30,13873900,53,20230602,0,,ST,1,"    ",,"B4G323      ",01,"        ",,,,0,1,"    ",AA30,13873900,031025,01,01,031025,01,2
ST,AA30,13873901,34,20230602,0,,ST,1,"    ",,"B4G470      ",01,"        ",,,,0,1,"    ",AA30,13873901,041044,01,01,041044,01,2
ST,AA30,13873903,17,20230602,0,,ST,1,"    ",,"B4G470      ",01,"        ",,,,0,1,"    ",AA30,13873903,041120,05,05,041120,01,2
