HoyaItemType,CMPNYCD,RCVNO,SALMANCD,RCVDATE,RCVTIME,SUBTRNCD,ORDTYPE,ORDERRT,MODE,SPMODE,OPERATOR,STCKPNT,REFNO,ORGRCVNO,ORGSLIPNO,REASONNO,WASTE,FORM_TYPE,MAIL,SOLD_TO_COMPANY_CODE,RCVNO,SALCSTMCD,SALBRCHCD,SHPBRCHCD,SHPCSTMCD,LABOCD,TOTDETLINE
ST,AA30,13873852,32,20230602,0,,ST,1,"    ",,"B4G501      ",03,"        ",,,,0,1,"    ",AA30,13873852,020031,03,03,020031,03,2
ST,AA30,13873853,32,20230602,0,,ST,1,"    ",,"B4G501      ",03,"        ",,,,0,1,"    ",AA30,13873853,020031,03,03,020031,03,2
