HoyaItemType,CMPNYCD,RCVNO,SALMANCD,RCVDATE,RCVTIME,SUBTRNCD,ORDTYPE,ORDERRT,MODE,SPMODE,OPERATOR,STCKPNT,REFNO,ORGRCVNO,ORGSLIPNO,REASONNO,WASTE,FORM_TYPE,MAIL,SOLD_TO_COMPANY_CODE,RCVNO,SALCSTMCD,SALBRCHCD,SHPBRCHCD,SHPCSTMCD,LABOCD,TOTDETLINE
ST,AA30,13873935,16,20230602,0,,ST,1,"    ",,"B4G354      ",01,"        ",,,,0,1,"    ",AA30,13873935,015506,05,05,015506,01,1
ST,AA30,13873934,35,20230602,0,,ST,1,"    ",,"B4G354      ",02,"        ",,,,0,1,"    ",AA30,13873934,010582,02,02,010582,02,1
ST,AA30,13873936,30,20230602,0,,ST,1,"    ",,"B4G323      ",01,"        ",,,,0,1,"    ",AA30,13873936,013005,01,01,013005,01,2
ST,AA30,13873937,35,20230602,0,,ST,1,"    ",,"B4G354      ",02,"        ",,,,0,1,"    ",AA30,13873937,010583,02,02,010583,02,1
