HoyaItemType,CMPNYCD,RCVNO,SALMANCD,RCVDATE,RCVTIME,SUBTRNCD,ORDTYPE,ORDERRT,MODE,SPMODE,OPERATOR,STCKPNT,REFNO,ORGRCVNO,ORGSLIPNO,REASONNO,WASTE,FORM_TYPE,MAIL,SOLD_TO_COMPANY_CODE,RCVNO,SALCSTMCD,SALBRCHCD,SHPBRCHCD,SHPCSTMCD,LABOCD,TOTDETLINE
ST,AA30,13873887,55,20230602,0,,ST,1,"    ",,"B4G323      ",04,"        ",,,,0,1,"    ",AA30,13873887,035160,06,06,035003,04,2
ST,AA30,13873888,55,20230602,0,,ST,1,"    ",,"B4G323      ",04,"        ",,,,0,1,"    ",AA30,13873888,035160,06,06,035003,04,2
ST,AA30,13873889,10,20230602,0,,ST,1,"    ",,"B4G323      ",01,"        ",,,,0,1,"    ",AA30,13873889,016669,01,01,016669,01,2
