HoyaItemType,CMPNYCD,RCVNO,SALMANCD,RCVDATE,RCVTIME,SUBTRNCD,ORDTYPE,ORDERRT,MODE,SPMODE,OPERATOR,STCKPNT,REFNO,ORGRCVNO,ORGSLIPNO,REASONNO,WASTE,FORM_TYPE,MAIL,SOLD_TO_COMPANY_CODE,RCVNO,SALCSTMCD,SALBRCHCD,SHPBRCHCD,SHPCSTMCD,LABOCD,TOTDETLINE
ST,AA30,13873610,17,20230602,0,,ST,1,"    ",,"B4G470      ",01,"        ",,,,0,1,"    ",AA30,13873610,041133,05,05,041133,01,2
ST,AA30,13873612,16,20230602,0,,ST,1,"    ",,"B4G323      ",01,"        ",,,,0,1,"    ",AA30,13873612,015250,05,05,015250,01,2
ST,AA30,13873613,33,20230602,0,,ST,1,"    ",,"B4G354      ",01,"        ",,,,0,1,"    ",AA30,13873613,020211,03,03,020211,01,2
ST,AA30,13873614,16,20230602,0,,ST,1,"    ",,"B4G354      ",01,"        ",,,,0,1,"    ",AA30,13873614,015506,05,05,015506,01,1
