HoyaItemType,CMPNYCD,RCVNO,SALMANCD,RCVDATE,RCVTIME,SUBTRNCD,ORDTYPE,ORDERRT,MODE,SPMODE,OPERATOR,STCKPNT,REFNO,ORGRCVNO,ORGSLIPNO,REASONNO,WASTE,FORM_TYPE,MAIL,SOLD_TO_COMPANY_CODE,RCVNO,SALCSTMCD,SALBRCHCD,SHPBRCHCD,SHPCSTMCD,LABOCD,TOTDETLINE
ST,AA30,13873578,16,20230602,0,,ST,1,"    ",,"B4G323      ",01,"        ",,,,0,1,"    ",AA30,13873578,015035,05,05,015035,01,2
ST,AA30,13873579,35,20230602,0,,ST,1,"    ",,"B4G470      ",02,"        ",,,,0,1,"    ",AA30,13873579,010325,02,02,010325,02,2
ST,AA30,13873580,31,20230602,0,,ST,1,"    ",,"B4G354      ",01,"        ",,,,0,1,"    ",AA30,13873580,020210,01,01,020210,01,2
ST,AA30,13873582,55,20230602,0,,ST,1,"    ",,"B4G323      ",01,"        ",,,,0,1,"    ",AA30,13873582,035066,01,01,035066,01,2
